img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/4209423ccc.jpg,SOCOM: Tactical Strike,PSP,Shooter,Sony Computer Entertainment,Slant Six,7.1,0.36,0.32,,0.01,0.03,2007-11-06,
/games/boxart/full_3464183AmericaFrontccc.jpg,Okage: Shadow King,PS2,Role-Playing,Sony Computer Entertainment,Zener Works,,0.36,0.14,0.08,0.11,0.04,2001-10-01,
/games/boxart/4859211ccc.jpg,NBA Live 2003,XB,Sports,EA Sports,EA Canada,,0.36,0.31,,0.04,0.01,2002-10-08,
/games/boxart/full_5526601AmericaFrontccc.jpg,ESPN: Sports Connection,WiiU,Sports,Ubisoft,Ubisoft Barcelona,3,0.36,0.2,,0.13,0.03,2012-11-18,2020-09-14
/games/boxart/full_1482711JapanFrontccc.jpg,Zero4 Champ RR,SNES,Sports,Media Rings,Media Rings,,0.36,,0.36,,,1994-07-22,
/games/boxart/full_5346972AmericaFrontccc.jpg,High Heat Major League Baseball 2004,PS2,Sports,3DO,3DO,,0.36,0.18,,0.14,0.05,2003-02-20,
/games/boxart/full_tekken-hybrid_218AmericaFront.jpg,Tekken Hybrid,PS3,Fighting,Namco,Namco Bandai Games,4,0.36,0.21,0.04,0.07,0.04,2011-11-22,
/games/boxart/full_3416718JapanFrontccc.jpg,Super Fire ProWrestling Special,SNES,Fighting,Human Entertainment,Human Club,,0.36,,0.36,,,1994-12-22,
/games/boxart/full_1169040JapanFrontccc.jpg,Yuu Yuu Hakusho,SNES,Fighting,Namco,Namco,,0.36,,0.36,,0,1993-12-22,
/games/boxart/full_6255628JapanFrontccc.jpg,Boxer's Road,PS,Fighting,New,New Corporation,,0.36,,0.33,,0.02,1995-09-08,
/games/boxart/3516939ccc.jpg,Breath of Fire II,SNES,Role-Playing,Capcom,Capcom,8.3,0.36,,0.36,,,1995-12-01,
/games/boxart/full_4592558AmericaFrontccc.jpg,Arc the Lad: Twilight of the Spirits,PS2,Role-Playing,Sony Computer Entertainment,Cattle Call,7.3,0.36,0.18,,0.14,0.05,2003-06-25,
/games/boxart/full_toriko-gourmet-survival_887JapanFront.jpg,Toriko: Gourmet Survival!,PSP,Role-Playing,Namco Bandai,Namco Bandai Games,,0.36,,0.36,,,2011-08-04,
/games/boxart/full_1742861AmericaFrontccc.jpg,Sword Art Online: Lost Song,PS4,Role-Playing,Namco Bandai Games,Namco Bandai Games,,0.36,0.19,,0.11,0.06,2015-11-17,
/games/boxart/full_890773AmericaFrontccc.jpg,LocoRoco 2,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,8.5,0.36,0.21,0.01,0.09,0.05,2009-02-10,2018-09-17
